-0.091,-0.024,-0.002,0.996,0.049,-0.005,0.04,0.998,0.011,-0.017,0.067,0.998,0.006,0,-0.009,1,0.102,0.006,-0.068,0.992,-0.018,-0.114,0.042,0.992,-0.087,0.214,-0.02,0.973,0.127,-0.002,0.019,0.992,0,0,0,1,-0.085,0.001,-0.013,0.996,0.119,0.019,-0.033,0.992,0.128,0.037,-0.574,-0.808,0.132,-0.037,0.63,-0.765,-0.068,-0.461,-0.186,-0.865,-0.078,-0.597,-0.123,0.789,-0.631,0.061,-0.452,-0.627,-0.684,-0.131,0.333,-0.636
-0.116,-0.007,-0.001,0.993,0.088,-0.001,0.039,0.995,0.095,-0.017,0.071,0.993,0.003,-0.002,-0.011,1,0.078,0,-0.067,0.995,-0.142,-0.085,0.034,0.986,-0.093,0.184,-0.023,0.978,-0.174,0,-0.003,-0.985,0,0,0,1,0.1,0,0.008,-0.995,0.115,0.039,-0.001,0.993,-0.079,-0.108,0.621,0.772,-0.16,0.016,-0.64,0.752,-0.159,-0.195,-0.114,-0.961,0.14,-0.231,-0.125,0.955,-0.681,0.216,-0.385,-0.584,-0.629,-0.4,0.382,-0.547
-0.104,-0.025,-0.003,0.994,0.075,-0.005,0.055,0.996,0.047,-0.019,0.081,0.995,-0.003,0,-0.028,1,0.101,0.003,-0.074,0.992,-0.071,-0.086,0.04,0.993,-0.073,0.226,-0.021,0.971,-0.163,0,0.006,-0.987,0,0,0,1,0.079,0,0.003,-0.997,0.12,0.09,0.003,0.989,-0.072,-0.12,0.595,0.791,-0.134,0.045,-0.615,0.776,-0.179,-0.223,-0.131,-0.949,0.099,-0.22,-0.11,0.964,-0.639,0.257,-0.399,-0.605,-0.717,-0.345,0.316,-0.517
-0.112,-0.022,-0.003,0.993,0.07,-0.002,0.036,0.997,0.055,-0.018,0.077,0.995,0.023,-0.001,-0.004,1,0.099,0.002,-0.071,0.993,-0.18,-0.094,0.029,0.979,-0.076,0.196,-0.025,0.977,-0.177,0,-0.003,-0.984,0,0,0,1,0.075,0,0.003,-0.997,0.118,0.084,0.016,0.989,-0.071,-0.124,0.598,0.789,-0.119,0.065,-0.621,0.772,-0.225,-0.173,-0.117,-0.952,0.086,-0.196,-0.099,0.972,-0.541,0.202,-0.434,-0.692,-0.728,-0.289,0.314,-0.536
-0.103,-0.035,-0.004,0.994,0.082,-0.003,0.048,0.995,0.086,-0.015,0.063,0.994,-0.027,0.001,-0.038,0.999,0.072,0.001,-0.066,0.995,-0.16,-0.025,0.046,0.986,-0.049,0.235,-0.025,0.97,-0.182,0.001,-0.009,-0.983,0,0,0,1,0.094,0,0.008,-0.996,0.13,0.105,0.024,0.986,-0.124,-0.064,0.622,0.771,-0.159,0.023,-0.624,0.765,-0.278,-0.239,-0.169,-0.915,0.116,-0.283,-0.14,0.942,-0.571,0.147,-0.465,-0.661,-0.653,-0.43,0.398,-0.479
-0.12,-0.028,-0.003,0.992,0.079,-0.002,0.041,0.996,0.108,-0.014,0.057,0.992,-0.002,-0.001,-0.018,1,0.041,0.002,-0.061,0.997,-0.113,-0.081,0.037,0.99,-0.057,0.218,-0.026,0.974,-0.197,0,-0.01,-0.98,0,0,0,1,0.091,0.001,0.015,-0.996,0.128,0.109,0.026,0.985,-0.114,-0.08,0.616,0.776,-0.168,0.016,-0.62,0.766,-0.269,-0.22,-0.154,-0.925,0.15,-0.286,-0.152,0.934,-0.727,0.152,-0.417,-0.523,-0.652,-0.416,0.388,-0.501
-0.114,-0.034,-0.004,0.993,0.072,-0.003,0.039,0.997,0.098,-0.016,0.066,0.993,0.012,-0.001,-0.015,1,0.051,0.002,-0.061,0.997,-0.173,-0.061,0.037,0.982,-0.054,0.21,-0.027,0.976,-0.19,0,-0.006,-0.982,0,0,0,1,0.091,0.001,0.014,-0.996,0.132,0.114,0.02,0.985,-0.12,-0.071,0.619,0.773,-0.169,0.014,-0.622,0.764,-0.257,-0.189,-0.132,-0.939,0.098,-0.28,-0.133,0.946,-0.754,0.188,-0.386,-0.496,-0.631,-0.46,0.375,-0.5
-0.105,-0.019,-0.002,0.994,0.057,-0.004,0.036,0.998,0.087,-0.017,0.074,0.993,0.024,-0.001,-0.003,1,0.058,0.003,-0.077,0.995,-0.167,-0.08,0.033,0.982,-0.073,0.206,-0.024,0.976,-0.179,0.001,-0.009,-0.984,0,0,0,1,0.078,0,0.013,-0.997,0.122,0.098,0.016,0.988,-0.108,-0.079,0.617,0.776,-0.152,0.028,-0.623,0.767,-0.242,-0.172,-0.12,-0.947,0.103,-0.259,-0.126,0.952,-0.726,0.187,-0.369,-0.549,-0.577,-0.438,0.431,-0.539
-0.115,-0.023,-0.003,0.993,0.072,-0.004,0.046,0.996,0.089,-0.017,0.074,0.993,0,-0.001,-0.011,1,0.065,0.002,-0.07,0.995,-0.126,-0.105,0.032,0.986,-0.084,0.167,-0.027,0.982,-0.193,0,-0.007,-0.981,0,0,0,1,0.086,0.001,0.013,-0.996,0.126,0.097,0.02,0.987,-0.115,-0.077,0.613,0.778,-0.16,0.023,-0.623,0.766,-0.272,-0.19,-0.137,-0.933,0.104,-0.277,-0.133,0.946,-0.746,0.163,-0.406,-0.502,-0.594,-0.456,0.417,-0.515
-0.118,-0.022,-0.003,0.993,0.075,-0.003,0.04,0.996,0.1,-0.015,0.06,0.993,0.008,-0.001,-0.01,1,0.049,0.002,-0.052,0.997,-0.115,-0.119,0.031,0.986,-0.076,0.171,-0.028,0.982,-0.2,0,-0.009,-0.98,0,0,0,1,0.083,0.001,0.014,-0.996,0.123,0.094,0.022,0.988,-0.113,-0.082,0.613,0.778,-0.159,0.027,-0.622,0.767,-0.294,-0.187,-0.141,-0.927,0.114,-0.291,-0.142,0.939,-0.701,0.103,-0.418,-0.568,-0.592,-0.47,0.406,-0.513
